Frame,Object ID,Class,Traffic Status,Movement Direction,Entry/Exit Status
65,4,Vehicle,Moderate Traffic,Left,In Zone
65,6,Vehicle,Moderate Traffic,Right,In Zone
65,7,Vehicle,Moderate Traffic,Left,Entered
66,1,Vehicle,Moderate Traffic,Right,In Zone
66,2,Vehicle,Moderate Traffic,Left,Entered
66,3,Vehicle,Moderate Traffic,Left,In Zone
66,4,Vehicle,Moderate Traffic,Left,In Zone
66,6,Vehicle,Moderate Traffic,Right,In Zone
66,7,Vehicle,Moderate Traffic,Left,Entered
67,1,Vehicle,Moderate Traffic,Left,In Zone
67,2,Vehicle,Moderate Traffic,Left,Entered
67,3,Vehicle,Moderate Traffic,Left,In Zone
67,4,Vehicle,Moderate Traffic,Left,In Zone
67,6,Vehicle,Moderate Traffic,Left,In Zone
67,7,Vehicle,Moderate Traffic,Left,Entered
68,1,Vehicle,Moderate Traffic,Right,In Zone
68,2,Vehicle,Moderate Traffic,Left,Entered
68,3,Vehicle,Moderate Traffic,Left,In Zone
68,4,Vehicle,Moderate Traffic,Left,In Zone
68,6,Vehicle,Moderate Traffic,Right,In Zone
68,7,Vehicle,Moderate Traffic,Left,Entered
69,1,Vehicle,Moderate Traffic,Right,In Zone
69,2,Vehicle,Moderate Traffic,Left,Entered
69,3,Vehicle,Moderate Traffic,Left,In Zone
69,4,Vehicle,Moderate Traffic,Right,In Zone
69,6,Vehicle,Moderate Traffic,Right,In Zone
69,7,Vehicle,Moderate Traffic,Left,Entered
70,1,Vehicle,Moderate Traffic,Right,In Zone
70,2,Vehicle,Moderate Traffic,Left,Entered
70,3,Vehicle,Moderate Traffic,Left,In Zone
70,4,Vehicle,Moderate Traffic,Left,In Zone
70,6,Vehicle,Moderate Traffic,Right,In Zone
70,7,Vehicle,Moderate Traffic,Left,Entered
71,1,Vehicle,Moderate Traffic,Right,In Zone
71,2,Vehicle,Moderate Traffic,Left,Entered
71,3,Vehicle,Moderate Traffic,Right,In Zone
71,4,Vehicle,Moderate Traffic,Left,In Zone
71,6,Vehicle,Moderate Traffic,Right,In Zone
71,7,Vehicle,Moderate Traffic,Left,Entered
72,1,Vehicle,Moderate Traffic,Right,In Zone
72,2,Vehicle,Moderate Traffic,Left,Entered
72,3,Vehicle,Moderate Traffic,Left,In Zone
72,4,Vehicle,Moderate Traffic,Left,In Zone
72,6,Vehicle,Moderate Traffic,Left,In Zone
72,7,Vehicle,Moderate Traffic,Left,Entered
73,1,Vehicle,Moderate Traffic,Right,In Zone
73,2,Vehicle,Moderate Traffic,Left,Entered
73,3,Vehicle,Moderate Traffic,Left,In Zone
73,4,Vehicle,Moderate Traffic,Left,In Zone
73,6,Vehicle,Moderate Traffic,Right,In Zone
73,7,Vehicle,Moderate Traffic,Left,Entered
